	74629
UNITED STATES DEPARTMENT OF INTERIOR BUREAU OF COMMERCIAL FISHERIES	82
HM STATIONERY OFF	82
DEPARTMENT OF AGRICULTURE FOREST SERVICE SOUTHERN FOREST EXPERIMENT STATION	81
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT INDUSTRIAL ENVIRONMENTAL RESEARCH LABORATORY	81
GOVERNMENT PRTG OFF	81
NATIONAL ACADEMY OF SCIENCES-NATIONAL RESEARCH COUNCIL	80
UNITED STATES GPO DISTRIBUTOR	80
PRINTED AT CONGRESSIONAL GLOBE OFFICE	80
GREENWOOD PRESS	79
MUNICIPAL ENVIRONMENTAL RESEARCH LABORATORY OFFICE OF RESEARCH AND DEVELOPMENT UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	79
MIDWESTERN UNIVERSITIES RESEARCH ASSOCIATION	79
AIR FORCE HISTORY AND MUSEUMS PROGRAM	79
NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION	79
PRINTED BY GALES AND SEATON	78
HISTORICAL RECORDS SURVEY	78
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION	78
UNITED STATES OFFICE OF EDUCATION	78
DEPARTMENT OF JUSTICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION NATIONAL INSTITUTE OF LAW ENFORCEMENT AND CRIMINAL JUSTICE	77
TECHNICAL INFORMATION DIVISION OAK RIDGE DIRECTED OPERATIONS	76
UNITED STATES DEPARTMENT OF AGRICULTURE FOREST SERVICE NORTH CENTRAL RESEARCH STATION	76
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION NATIONAL ENVIRONMENTAL SATELLITE DATA AND INFORMATION SERVICE	76
BUREAU OF LABOR STATISTICS PUBLICATIONS SALES CENTER DISTRIBUTOR	76
AGENCY FOR INTERNATIONAL DEVELOPMENT	76
DEPARTMENT OF TRANSPORTATION	76
PACIFIC NORTHWEST FOREST AND RANGE EXPERIMENT STATION UNITED STATES DEPARTMENT OF AGRICULTURE FOREST SERVICE	76
UNITED STATES SOIL CONSERVATION SERVICE	75
FEDERAL TRADE COMMISSION	75
UNITED STATES DEPARTMENT OF COMMERCE TECHNOLOGY ADMINISTRATION NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY	75
USGOVERNMENTPRINTOFF	75
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE HEALTH RESOURCES ADMINISTRATION BUREAU OF HEALTH MANPOWER	74
DEPARTMENT OF TREASURY UNITED STATES CUSTOMS SERVICE	74
DEPARTMENT OF LABOR BUREAU OF LABOR STATISTICS	74
UNITED STATES DEPARTMENT OF INTERIOR UNITED STATES FISH AND WILDLIFE SERVICE	73
DISTRIBUTED BY UNITED STATES DEPARTMENT OF COMMERCE OFFICE OF TECHNICAL SERVICES	73
UNITED STATES GPO?	73
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH NATIONAL CANCER INSTITUTE	73
UNITED STATES DEPARTMENT OF AGRICULTURE ECONOMIC RESEARCH SERVICE AGRICULTURE AND TRADE ANALYSIS DIVISION	73
MOUND LABORATORY	72
DOCUMENTATION FRANçAISE	71
SOUTHEASTERN FOREST EXPERIMENT STATION	71
UNITED STATES NUCLEAR REGULATORY COMMISSION OFFICE OF NUCLEAR REACTOR REGULATION	71
NATIONAL CANCER INSTITUTE	71
AMES LABORATORY IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOGY	70
UNITED STATES OFFICE OF PERSONNEL MANAGEMENT	70
TECHNICAL SERVICES DEPARTMENT OF COMMERCE	69
UNITED STATES MARINE CORPS	69
UNITED STATES DEPARTMENT OF INTERIOR NATIONAL PARK SERVICE DENVER SERVICE CENTER	69
DEPARTMENT OF HEALTH EDUCATION AND WELFARE	69
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE FOOD AND DRUG ADMINISTRATION	69
WESTERN ENERGY AND LAND USE TEAM DIVISION OF BIOLOGICAL SERVICES RESEARCH AND DEVELOPMENT FISH AND WILDLIFE SERVICE UNITED STATES DEPARTMENT OF INTERIOR	68
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY	68
ACADEMY	68
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY RISK REDUCTION ENGINEERING LABORATORY	68
UNIVERSITY OF ARIZONA PRESS	68
LAKE STATES FOREST EXPERIMENT STATION FOREST SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	68
DEPARTMENT OF STATE BUREAU OF PUBLIC AFFAIRS OFFICE OF PUBLIC COMMUNICATION	68
CORPORATION FOR NATIONAL SERVICE	68
FEDERAL SECURITY AGENCY OFFICE OF EDUCATION	68
TEAM	68
UNITED STATES DEPARTMENT OF INTERIOR FISH AND WILDLIFE SERVICE RESEARCH AND DEVELOPMENT	67
OFFICE OF CHIEF OF MILITARY HISTORY DEPARTMENT OF ARMY	67
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE EDUCATION DIVISION NATIONAL CENTER FOR EDUCATION STATISTICS	67
UNITED STATES PUBLIC HEALTH SERVICE	67
OFFICE OF RESEARCH AND DEVELOPMENT UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	67
SCIENTIFIC AND TECHNICAL INFORMATION BRANCH NATIONAL AERONAUTICS AND SPACE ADMINISTRATION	67
OFFICE OF FEDERAL REGISTER NATIONAL ARCHIVES AND RECORDS SERVICE GENERAL SERVICES ADMINISTRATION	66
UNITED STATES DEPARTMENT OF COMMERCE BUREAU OF ECONOMIC ANALYSIS	66
PRESIDENT COMMITTEE ON EMPLOYMENT OF HANDICAPPED	66
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT	66
UNITED STATES DEPARTMENT OF AGRICULTURE SCIENCE AND EDUCATION ADMINISTRATION	66
DIVISION DISTRIBUTOR	65
USDA-NRCS-NATIONAL CARTOGRAPHIC AND GIS CENTER	65
OFFICE OF TECHNICAL SERVICES	65
OFFICE OF TECHNOLOGY ASSESSMENT CONGRESS OF UNITED STATES	65
UNITED STATES DEPARTMENT OF AGRICULTURE STATISTICAL REPORTING SERVICE CROP REPORTING BOARD	65
DEPARTMENT OF COMMERCE	65
UNITED STATES DEPARTMENT OF LABOR EMPLOYMENT STANDARDS ADMINISTRATION WAGE AND HOUR DIVISION	65
VETERANS ADMINISTRATION	65
UNITED STATES ARMY TRAINING SUPPORT CENTER RESERVE SCHOOLS DIVISION	64
INTERMOUNTAIN FOREST AND RANGE EXPERIMENT STATION	64
DEPARTMENT OF TREASURY BUREAU OF ALCOHOL TOBACCO AND FIREARMS	64
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE WELFARE ADMINISTRATION CHILDREN BUREAU	64
GENERAL ELECTRIC NUCLEAR MATERIALS AND PROPULSION OPERATION	63
UNITED STATES COAST GUARD OFFICE OF RESEARCH AND DEVELOPMENT	63
UNION CARBIDE NUCLEAR COMPANY OAK RIDGE GASEOUS DIFFUSION PLANT	63
DEPARTMENT OF TREASURY	63
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE SOCIAL SECURITY ADMINISTRATION OFFICE OF RESEARCH AND STATISTICS	63
WRIGHT AIR DEVELOPMENT CENTER AIR RESEARCH AND DEVELOPMENT COMMAND UNITED STATES AIR FORCE	63
TRANSPORTATION RESEARCH BOARD NATIONAL RESEARCH COUNCIL	63
UNITED STATES DEPARTMENT OF AGRICULTURE FOREST SERVICE EASTERN REGION	63
COMMUNITY SERVICES ADMINISTRATION	63
NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION	62
AVAILABLE FROM SUPT OF DOCS UNITED STATES GPO	62
NATIONAL ACADEMY OF SCIENCES NATIONAL RESEARCH COUNCIL	62
UNITED STATES DEPARTMENT OF AGRICULTURE FOREST SERVICE NORTHERN RESEARCH STATION	61
DEPARTMENT OF INTERIOR UNITED STATES FISH AND WILDLIFE SERVICE	61
UNITED STATES DEPARTMENT OF AGRICULTURE ECONOMIC RESEARCH SERVICE AGRICULTURE AND RURAL ECONOMY DIVISION	61
SUPT OF DOCS UNITED STATES GPO	61
PRAEGER	61
OPEN-FILE SERVICES SECTION WESTERN DISTRIBUTION BRANCH UNITED STATES GEOLOGICAL SURVEY	61
NATIONAL CENTER FOR RESEARCH IN VOCATIONAL EDUCATION OHIO STATE UNIVERSITY	61
DEPARTMENT OF AGRICULTURE SOIL CONSERVATION SERVICE	61
PACIFIC NORTHWEST FOREST AND RANGE EXPERIMENT STATION	61
UNITED STATES DEPARTMENT OF AGRICULTURE ANIMAL AND PLANT HEALTH INSPECTION SERVICE VETERINARY SERVICES	60
BRANCH	60
GOVERNMENT PRINTER	60
UNITED STATES ATOMIC ENERGY COMMISSION OFFICE OF TECHNICAL INFORMATION	60
DEPARTMENT OF INTERIOR	60
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL TELECOMMUNICATIONS AND INFORMATION ADMINISTRATION	60
FOREST SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE PACIFIC SOUTHWEST FOREST AND RANGE EXPERIMENT STATION	59
DEPARTMENT OF HEALTH EDUCATION AND WELFARE EDUCATION DIVISION OFFICE OF EDUCATION	59
UNITED STATES DEPARTMENT OF INTERIOR FISH AND WILDLIFE SERVICE BUREAU OF SPORT FISHERIES AND WILDLIFE	59
UNITED STATES CIVIL SERVICE COMMISSION	59
BUREAU OF MINES UNITED STATES DEPARTMENT OF INTERIOR	59
COMMAND	58
DEPARTMENT OF AGRICULTURE ECONOMICS STATISTICS AND COOPERATIVES SERVICE	58
NAVAL RESEARCH LABORATORY	58
DEPARTMENT OF TRANSPORTATION FEDERAL AVIATION ADMINISTRATION	58
UNITED STATES EQUAL EMPLOYMENT OPPORTUNITY COMMISSION	58
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION NATIONAL OCEAN SURVEY	58
SOUTHEASTERN FOREST EXPERIMENT STATION UNITED STATES DEPARTMENT OF AGRICULTURE FOREST SERVICE	58
SOIL CONSERVATION SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	58
UNITED STATES DEPARTMENT OF AGRICULTURE FOREST SERVICE NORTHEASTERN AREA	57
DEPARTMENT OF AGRICULTURE FOREST SERVICE PACIFIC SOUTHWEST FOREST AND RANGE EXPERIMENT STATION	57
NATIONAL TECHNICAL INFORMATION SERVICE UNITED STATES DEPARTMENT OF COMMERCE	57
JOINT CHIEFS OF STAFF	57
HMSO	57
UNITED STATES ATOMIC ENERGY COMMISSION OFFICE OF INFORMATION SERVICES	57
KNOLLS ATOMIC POWER LABORATORY	57
TECHNICAL INFORMATION DIVISION ATOMIC ENERGY COMMISSION	56
LA DOCUMENTATION FRANçAISE	56
UNITED STATES NAVAL OCEANOGRAPHIC OFFICE	56
OFFICE FOR OFFICIAL PUBLICATIONS OF EUROPEAN COMMUNITIES	56
DISTRIBUTED BY NATIONAL TECHNICAL INFORMATION SERVICE	56
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT ENVIRONMENTAL RESEARCH LABORATORY	56
UNITED STATES DEPARTMENT OF LABOR EMPLOYMENT AND TRAINING ADMINISTRATION UNEMPLOYMENT INSURANCE SERVICE	56
CATALOGING DISTRIBUTION SERVICE LIBRARY OF CONGRESS	56
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISM	55
SOIL CONSERVATION SERVICE	55
DEPARTMENT OF STATE BUREAU OF PUBLIC AFFAIRS	55
NATIONAL CENTER FOR EDUCATION STATISTICS UNITED STATES DEPARTMENT OF EDUCATION OFFICE OF EDUCATIONAL RESEARCH AND IMPROVEMENT	55
UNITED STATES DEPARTMENT OF COMMERCE ECONOMIC AND STATISTICS ADMINISTRATION BUREAU OF CENSUS	55
COMMISSION ON SECURITY AND COOPERATION IN EUROPE	55
DEPARTMENT OF JUSTICE	55
UNITED STATES DEPARTMENT OF JUSTICE LAW ENFORCEMENT ASSISTANCE ADMINISTRATION NATIONAL CRIMINAL JUSTICE INFORMATION AND STATISTICS SERVICE	55
UNITED STATES DEPARTMENT OF EDUCATION OFFICE OF POSTSECONDARY EDUCATION	54
UNITED STATES GEOLOGICAL SURVEY BOOKS AND OPEN-FILE REPORTS SECTION DISTRIBUTOR	54
H M STATIONERY OFF	54
UNITED STATES DEPARTMENT OF LABOR BUREAU OF LABOR-MANAGEMENT RELATIONS AND COOPERATIVE PROGRAMS	54
FEDERAL ELECTION COMMISSION	54
FOREST SERVICE DEPARTMENT OF AGRICULTURE	53
WILEY	53
UNITED STATES DEPARTMENT OF INTERIOR MINERALS MANAGEMENT SERVICE PACIFIC OCS REGION	53
UNITED STATES FISH AND WILDLIFE SERVICE DEPARTMENT OF INTERIOR	53
DEPARTMENT OF TRANSPORTATION NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION	53
NATIONAL ARCHIVES NATIONAL ARCHIVES AND RECORDS SERVICE GENERAL SERVICES ADMINISTRATION	53
DEPARTMENT OF STATE BUREAU OF PUBLIC AFFAIRS OFFICE OF PUBLIC COMMUNICATION EDITORIAL DIVISION	53
BUREAU OF LABOR STATISTICS	53
UNITED STATES DEPARTMENT OF COMMERCE ECONOMIC DEVELOPMENT ADMINISTRATION	53
WRIGHT AIR DEVELOPMENT DIVISION AIR RESEARCH AND DEVELOPMENT COMMAND UNITED STATES AIR FORCE	52
NATIONAL INSTITUTE OF LAW ENFORCEMENT AND CRIMINAL JUSTICE	52
FOOD AND AGRICULTURE ORGANIZATION OF UNITED NATIONS	52
FOREST SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE ROCKY MOUNTAIN FOREST AND RANGE EXPERIMENT STATION	52
UNITED STATES BUREAU OF LABOR STATISTICS	52
NATIONAL PARK SERVICE DEPARTMENT OF INTERIOR	51
NATIONAL DEFENSE UNIVERSITY	51
INDUSTRIAL COLLEGE OF ARMED FORCES	51
NATIONAL CLEARINGHOUSE COMMITTEE ON FOR BILINGUAL EDUCATION	51
USDA FOREST SERVICE TECHNOLOGY AND DEVELOPMENT PROGRAM	51
HARVARD UNIVERSITY PRESS	51
UNITED STATES DEPARTMENT OF INTERIOR MINERALS MANAGEMENT SERVICE	51
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE NATIONAL INSTITUTES OF HEALTH NATIONAL CANCER INSTITUTE	51
UNITED STATES NAVY HYDROGRAPHIC OFFICE	51
COASTAL ECOLOGY GROUP WATERWAYS EXPERIMENT STATION UNITED STATES ARMY CORPS OF ENGINEERS	50
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE SOCIAL SECURITY ADMINISTRATION CHILDREN BUREAU	50
ENVIRONMENTAL PROTECTION AGENCY WATER QUALITY OFFICE	50
OFFICE OF PUBLICATION BOARD DEPARTMENT OF COMMERCE	50
DEPARTMENT OF NAVY	50
NATIONAL MARINE FISHERIES SERVICE	50
URBAN MASS TRANSPORTATION ADMINISTRATION	50
UNITED STATES DEPARTMENT OF AGRICULTURE ECONOMIC RESEARCH SERVICE COMMODITY ECONOMICS DIVISION	49
MCGRAW-HILL	49
FEDERAL SECURITY AGENCY UNITED STATES OFFICE OF EDUCATION	49
DEFENSE MAPPING AGENCY	49
SPRINGFIELD VA	49
DIRECTORATE	49
FOREST SERVICE	49
UNITED STATES ATOMIC ENERGY COMMISSION UNION CARBIDE NUCLEAR COMPANY	48
BUREAU OF STANDARDS	48
COMMISSION ON CIVIL RIGHTS	48
UNIVERSITY PRESS OF AMERICA	48
UNITED STATES SENATE	48
DEPARTMENT OF INTERIOR BUREAU OF LAND MANAGEMENT	48
UNITED STATES DEPARTMENT OF LABOR BUREAU OF LABOR STANDARDS	48
NATIONAL ENDOWMENT FOR HUMANITIES	48
UNITED STATES DEPARTMENT OF AGRICULTURE EXTENSION SERVICE	48
OFFICE OF GEOGRAPHY	47
DIVISION OF REACTOR SAFETY RESEARCH OFFICE OF NUCLEAR REGULATORY RESEARCH UNITED STATES NUCLEAR REGULATORY COMMISSION	47
UNITED STATES GEOLOGICAL SURVEY BOOKS AND OPEN-FILE REPORTS DISTRIBUTOR	47
GENERAL ELECTRIC AIRCRAFT NUCLEAR PROPULSION DEPARTMENT ATOMIC PRODUCTS DIVISION	47
RISK REDUCTION ENGINEERING LABORATORY OFFICE OF RESEARCH AND DEVELOPMENT UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	47
BUREAU OF LAND MANAGEMENT	47
ASHGATE	47
DEPARTMENT OF STATE BUREAU OF PUBLIC AFFAIRS OFFICE OF MEDIA SERVICES	47
EXECUTIVE OFFICE OF PRESIDENT	47
FISH AND WILDLIFE SERVICE	47
NATIONAL INSTITUTE ON DRUG ABUSE	47
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE CENTERS FOR DISEASE CONTROL NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH	47
UNITED STATES GOV PRINTING OFFICE	46
UNITED STATES CONGRESS OFFICE OF TECHNOLOGY ASSESSMENT	46
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE CENTERS FOR DISEASE CONTROL AND PREVENTION	46
JET PROPULSION LABORATORY CALIFORNIA INSTITUTE OF TECHNOLOGY	46
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE CENTERS FOR DISEASE CONTROL AND PREVENTION NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH	46
DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE FOOD AND DRUG ADMINISTRATION	46
UNITED STATES AIR FORCE ACADEMY	46
SOUTHERN RESEARCH STATION	45
FEDERAL BUREAU OF INVESTIGATION UNITED STATES DEPARTMENT OF JUSTICE	45
DEPARTMENT OF HEALTH AND HUMAN SERVICES	45
DEPARTMENT OF TRANSPORTATION COAST GUARD OFFICE OF RESEARCH AND DEVELOPMENT	45
CONFERENCE	45
UNITED STATES DEPARTMENT OF AGRICULTURE BUREAU OF ENTOMOLOGY	45
DEPARTMENT OF INTERIOR NATIONAL PARK SERVICE	45
NATIONAL INSTITUTE FOR LITERACY	45
TASK FORCE	45
ACTION	45
DEPARTMENT OF LABOR EMPLOYMENT AND TRAINING ADMINISTRATION	45
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION ENVIRONMENTAL DATA SERVICE	44
AGENCY FOR TOXIC SUBSTANCES AND DISEASE REGISTRY	44
NORTH CENTRAL FOREST EXPERIMENT STATION	44
UNITED STATES GOVERNMENT PRINTING OFFICE BUREAU OF MINES	44
ARMY ENGINEER WATERWAYS EXPERIMENT STATION	44
SUPT OF DOCS DISTRIBUTOR	44
OFFICE OF SURGEON GENERAL DEPARTMENT OF ARMY	44
NUCLEAR REGULATORY COMMISSION OFFICE OF NUCLEAR REACTOR REGULATION	44
TENNESSEE VALLEY AUTHORITY	44
FEDERAL POWER COMMISSION	44
UNITED STATES DEPARTMENT OF AGRICULTURE AGRICULTURAL STABILIZATION AND CONSERVATION SERVICE	44
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE FOOD AND DRUG ADMINISTRATION BUREAU OF RADIOLOGICAL HEALTH	44
BOLT BERANEK AND NEWMAN	43
UNITED STATES DEPARTMENT OF JUSTICE NATIONAL INSTITUTE OF JUSTICE OFFICE OF DEVELOPMENT TESTING AND DISSEMINATION	43
PACIFIC NORTHWEST LABORATORY	43
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION FOR SALE FOR FEDERAL SCIENTIFIC AND TECHNICAL INFORMATION SPRINGFIELD VIRGINIA 22151	43
TECHNICAL INFORMATION DIVISION	43
ASSOCIATION	43
UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT OFFICE OF COMMUNITY PLANNING AND DEVELOPMENT	43
BRILL	43
UNITED STATES DEPARTMENT OF JUSTICE OFFICE OF JUSTICE PROGRAMS	43
UNITED STATES DEPARTMENT OF TRANSPORTATION OFFICE OF SECRETARY OF TRANSPORTATION	43
UNITED STATES DEPARTMENT OF STATE BUREAU OF CONSULAR AFFAIRS	43
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES HEALTH CARE FINANCING ADMINISTRATION	43
UNITED STATES DEPARTMENT OF AGRICULTURE FOOD SAFETY AND INSPECTION SERVICE	43
P LANG	42
AVAILABLE FROM UNITED STATES DEPARTMENT OF COMMERCE NATIONAL TECHNICAL INFORMATION SERVICE	42
UNITED STATES DEPARTMENT OF COMMERCE WEATHER BUREAU	42
UNITED STATES COAST GUARD OCEANOGRAPHIC UNIT	42
GOVERNMENT PRINTING OFF	42
OFFICE OF AIR FORCE HISTORY UNITED STATES AIR FORCE	42
SANDIA LABORATORIES	42
ERS-NASS DISTRIBUTOR	42
PROJECT	42
NP	42
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE NATIONAL CENTER FOR HEALTH STATISTICS	42
AUSTRALIAN GOVERNMENT PUB SERVICE	41
UNITED STATES DEPARTMENT OF TRANSPORTATION UNITED STATES COAST GUARD OFFICE OF RESEARCH AND DEVELOPMENT	41
SPRINGER	41
DEFENSE SYSTEMS MANAGEMENT COLLEGE	41
UNITED STATES DEPARTMENT OF TRANSPORTATION FEDERAL HIGHWAY ADMINISTRATION RESEARCH DEVELOPMENT AND TECHNOLOGY	41
INDUSTRIAL ENVIRONMENTAL RESEARCH LABORATORY OFFICE OF RESEARCH AND DEVELOPMENT UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	41
UNITED STATES DEPARTMENT OF TRANSPORTATION FEDERAL HIGHWAY ADMINISTRATION RESEARCH DEVELOPMENT AND TECHNOLOGY TURNER-FAIRBANK HIGHWAY RESEARCH CENTER	41
PEACE CORPS	41
UNITED STATES BEACH EROSION BOARD	41
DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE CENTERS FOR DISEASE CONTROL	41
UNITED STATES AGRICULTURAL RESEARCH SERVICE	41
CORPORATION	41
DOCUMENT EXPEDITING DOCEX PROJECT EXCHANGE AND GIFT DIVISION LIBRARY OF CONGRESS DISTRIBUTOR	41
ARMED FORCES INSTITUTE OF PATHOLOGY	41
GPO	41
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION NATIONAL MARINE FISHERIES SERVICE SOUTHWEST FISHERIES SCIENCE CENTER	40
DEPARTMENT OF INTERIOR FISH AND WILDLIFE SERVICE OFFICE OF BIOLOGICAL SERVICES WESTERN ENERGY AND LAND USE TEAM	40
DEPARTMENT OF AGRICULTURE FOOD AND NUTRITION SERVICE	40
HEALTH CARE FINANCING ADMINISTRATION	40
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION JET PROPULSION LABORATORY CALIFORNIA INSTITUTE OF TECHNOLOGY	40
UNITED STATES DEPARTMENT OF DEFENSE	40
PACIFIC NORTHWEST FOREST AND RANGE EXPERIMENT STATION UNITED STATES DEPARTMENT OF AGRICULTURE	40
DEPARTMENT OF INTERIOR FISH AND WILDLIFE SERVICE	40
PUBLISHED FOR NATIONAL COLLECTION OF FINE ARTS BY SMITHSONIAN INSTITUTION PRESS	40
ROCKY MOUNTAIN FOREST AND RANGE EXPERIMENT STATION	40
XIN HUA SHU DIAN BEIJING FA XING SUO FA XING	40
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT ENVIRONMENTAL MONITORING AND SUPPORT LABORATORY	40
USDA ARS NATIONAL AGRICULTURAL LIBRARY	40
MACMILLAN	40
SANDIA CORPORATION TECHNICAL INFORMATION DIVISION	40
UNITED STATES GOVERNMENT PRTG OFF	40
DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE CENTER FOR DISEASE CONTROL NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH	40
FEDERAL RESERVE BANK OF BOSTON	40
CROP REPORTING BOARD STATISTICAL REPORTING SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	40
UNITED STATES FEDERAL HIGHWAY ADMINISTRATION	40
INTERSTATE COMMERCE COMMISSION	40
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF PESTICIDES AND TOXIC SUBSTANCES	39
ORGANISATION FOR ECONOMIC CO-OPERATION AND DEVELOPMENT	39
UNITED STATES DEPARTMENT OF JUSTICE DRUG ENFORCEMENT ADMINISTRATION	39
REPRODUCED BY NATIONAL TECHNICAL INFORMATION SERVICE	39
TECHNICAL INFORMATION SERVICE EXTENSION	39
DEPARTMENT OF NAVY HEADQUARTERS UNITED STATES MARINE CORPS	39
FEDERAL TRANSIT ADMINISTRATION	39
UNITED STATES DEPARTMENT OF COMMERCE DOMESTIC AND INTERNATIONAL BUSINESS ADMINISTRATION	39
DEPARTMENT OF INTERIOR GEOLOGICAL SURVEY	39
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF WATER	39
FEDERAL AVIATION ADMINISTRATION	39
PUBLIC HEALTH SERVICE	39
GENERAL SERVICES ADMINISTRATION	39
UNITED STATES COAST GUARD	39
NATIONAL INSTITUTE ON AGING	38
UNITED STATES DEPARTMENT OF AGRICULTURE NATURAL RESOURCES CONSERVATION SERVICE	38
NAVAL EDUCATION AND TRAINING PROGRAM DEVELOPMENT CENTER	38
GODDARD SPACE FLIGHT CENTER	38
DEPARTMENTS OF ARMY NAVY AND AIR FORCE	38
NATIONAL ENVIRONMENTAL SATELLITE SERVICE	38
CORVALLIS ENVIRONMENTAL RESEARCH LABORATORY OFFICE OF RESEARCH AND DEVELOPMENT UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	38
UNITED STATES DEPARTMENT OF JUSTICE FEDERAL BUREAU OF INVESTIGATION	38
DEPARTMENT OF EDUCATION	38
AGRICULTURAL MARKETING SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	38
UNION CARBIDE NUCLEAR COMPANY	38
UNITED STATES GOVERNMENT ACCOUNTABILITY OFFICE	38
UNITED STATES DEPARTMENT OF HEALTH EDUCATION AND WELFARE PUBLIC HEALTH SERVICE ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION NATIONAL INSTITUTE OF MENTAL HEALTH	38
NATIONAL CREDIT UNION ADMINISTRATION	38
USAF SCHOOL OF AEROSPACE MEDICINE AEROSPACE MEDICAL DIVISION AFSC	38
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION NATIONAL ENVIRONMENTAL SATELLITE SERVICE	37
USDA FOREST SERVICE PACIFIC NORTHWEST RESEARCH STATION	37
AREA	37
DEPARTMENT OF TRANSPORTATION FEDERAL AVIATION ADMINISTRATION SYSTEMS RESEARCH AND DEVELOPMENT SERVICE	37
CONGRESSIONAL RESEARCH SERVICE	37
DEPARTMENT OF COMMERCE UNITED STATES TRAVEL SERVICE	37
